i,r_mean,r_std,pnl_mean,pnl_std,pnl_last
0,0.07930181713043778,0.07589518144600703,0.04066170027131576,0.026711413581590487,0.06501932406151195
1,-0.25059699324939283,0.31534959866149676,-0.2089473579882264,0.3457957031222607,-0.5961214240066817
2,0.013532178466050492,0.04440824662380762,0.13222426800032236,0.08222334408869288,0.26313883922186176
3,0.035557078651244405,0.06028438818761602,0.21002457084876616,0.1120666811412842,0.3088515109387512
4,0.049750602090422764,0.12230167516034877,0.18231747645325666,0.20712367371322868,0.4640151805641841
5,0.04735355434567987,0.09438675323305522,0.013692337903760088,0.12387124378027976,0.30988665717991015
6,-0.07463113046070535,0.10300265914737708,-0.2519831716254658,0.19168535312681273,-0.5878311221226837
7,-0.10565817045950568,0.13524675162393748,-0.16528656619930887,0.2110365487277671,-0.7307818932326796
8,0.04083539684110578,0.09526515244725398,0.029002977319493528,0.059637159272509635,-0.030410705053607573
9,0.003615066230984321,0.017487459216801223,0.06966521930987928,0.035500192427025644,0.1502616902492862
10,-0.05797791539435664,0.10903436817116569,-0.020485727284351853,0.12320381575987757,-0.21637478908262922
11,-0.000447466841719829,0.02614770922161544,-0.010164459787464487,0.06174749853221828,-0.07002878114555211
12,-0.016032214544395712,0.03216097755672057,-0.05898717936999661,0.04132853436673257,-0.1327030936112731
13,0.004453184553791837,0.06109270760959806,-0.04967672997048537,0.06009514077711329,-0.23101453785969678
14,0.021535332092715482,0.11884306175924664,0.11307911051168665,0.12861462378011576,0.0588519445076491
15,0.1264130490897405,0.10260002025566764,0.058916333134394976,0.11147142706143955,0.3265517468903636
16,0.011595896497154808,0.027740686009697833,-0.014753339836992974,0.022847468310576942,-0.03135993350788368
17,-0.0013736361540547498,0.01959412336864563,0.023074229712609626,0.030174778508788018,-0.0037237225188629236
18,-0.005936492790022393,0.02884483513610277,-0.023436042014874394,0.03497097299964458,-0.021395110927353578
19,-0.014935292239576565,0.03237768139672983,-0.05675378127903283,0.05604743254908316,-0.1619594013775087
20,0.051845944157490984,0.10364816049864704,0.17609445639776033,0.08402679077886185,0.21353226667661224
21,-0.006102931979318087,0.01764071848005406,-0.06509414950336041,0.03505952456463959,-0.08184837930366302
22,-0.022127542637721064,0.0450150450443313,-0.17758798944835302,0.12251631095753193,-0.2812591629782948
23,0.0004720317936797638,0.028650007513249164,0.02097645817377911,0.024801674254602304,0.008931903353370454
24,-0.0313912672662015,0.06792716137733641,-0.09414421053354852,0.04502071245568476,-0.11015646971195363
